charge_pump_ua,loop_bw_khz,phase_margin_deg,vco_gain_mhz_v,ref_freq_mhz,lock_time_us
435.0,408.0,33.4,120.6,70.0,77.5
118.9,488.5,46.3,167.0,80.0,15.92
389.3,420.5,35.9,780.1,65.0,46.35
191.1,371.3,49.1,268.0,16.1,5.0
446.1,328.9,67.9,500.6,36.3,65.23
243.9,196.1,30.7,455.9,11.6,15.92
164.5,173.9,32.9,149.5,40.0,11.3
168.2,192.8,56.0,502.7,91.4,6.57
359.3,294.6,44.7,639.9,73.6,43.23
348.0,377.0,44.3,163.9,48.6,29.22
457.8,89.2,41.1,799.2,74.7,81.11
377.6,293.7,39.2,177.4,84.0,42.14
324.5,163.4,79.1,357.2,18.8,23.95
444.4,369.8,32.5,775.4,68.2,66.83
234.3,121.1,48.6,488.6,86.0,9.73
68.8,336.7,46.1,491.3,13.0,21.51
497.5,51.9,37.6,726.1,28.1,117.2
157.6,210.7,56.8,529.9,33.8,5.0
51.3,34.5,56.2,286.0,47.8,57.88
303.0,483.7,48.5,365.1,68.9,18.06
179.6,462.0,51.2,610.7,50.6,8.57
393.3,98.3,61.4,682.9,92.0,53.62
125.5,280.5,37.1,490.9,59.5,24.86
156.4,224.7,36.0,183.6,75.6,11.11
234.3,317.7,55.8,716.1,69.6,15.23
202.4,347.9,75.1,265.4,63.2,14.37
332.9,499.6,65.2,494.9,97.5,27.13
205.8,83.3,61.1,389.1,78.0,14.36
198.1,391.8,60.8,380.0,47.5,6.12
406.6,288.8,30.1,576.2,73.0,54.26
492.9,414.9,54.0,349.3,31.7,91.47
145.4,463.3,30.9,168.5,26.7,25.74
188.9,96.8,65.5,197.1,44.7,28.42
202.9,381.3,50.6,777.7,90.8,8.29
319.6,490.7,39.5,698.9,10.0,24.97
488.5,354.9,68.3,372.9,36.1,102.53
457.9,336.7,64.4,239.7,66.5,74.69
187.1,462.2,54.4,215.4,94.4,5.0
172.2,326.5,70.2,266.5,60.0,5.0
499.8,128.9,53.0,757.8,34.2,101.02
234.7,260.3,71.0,791.8,26.7,20.77
90.9,111.6,51.8,511.9,53.5,30.04
205.9,192.6,43.1,677.4,50.6,17.05
383.4,488.3,33.9,433.2,89.4,47.25
97.3,25.4,35.9,328.8,53.6,59.32
207.3,232.8,43.0,683.9,89.0,5.0
487.1,351.1,47.9,704.5,26.2,74.72
72.7,153.3,58.2,621.7,58.2,22.88
244.4,49.8,41.5,481.7,63.2,32.5
52.3,466.2,59.6,525.8,32.8,16.8
450.3,278.9,44.7,458.5,98.0,70.97
329.2,225.9,68.9,752.7,71.4,29.19
427.0,96.4,43.9,743.6,89.0,71.32
448.2,399.0,35.2,489.6,72.0,78.15
142.3,10.5,33.3,164.5,90.9,103.11
53.4,133.4,76.5,762.2,97.1,35.74
205.5,424.7,32.4,524.5,46.1,29.02
235.4,330.0,70.8,654.9,26.6,13.98
496.0,117.4,63.3,322.9,24.8,97.95
437.1,325.5,61.2,328.2,95.4,54.91
404.6,365.5,69.5,662.3,25.5,48.38
243.4,42.4,52.8,148.2,89.6,31.37
252.5,152.5,74.6,792.8,20.7,15.65
163.7,261.2,37.1,572.9,91.4,14.6
450.1,14.7,53.4,238.9,77.3,128.0
236.6,369.9,57.1,355.1,25.5,7.86
319.1,199.3,53.3,192.9,85.0,23.16
400.1,462.9,50.6,456.8,25.6,39.18
498.5,361.9,52.0,215.5,49.1,86.07
64.3,299.0,69.4,381.5,81.1,34.21
323.5,182.8,54.2,471.6,74.8,16.67
218.5,409.0,56.1,417.6,30.4,5.0
187.3,50.7,52.1,796.6,84.9,32.47
140.6,465.8,45.3,341.6,67.5,5.0
485.2,389.8,38.0,783.4,56.9,91.96
399.1,322.7,66.9,471.3,68.7,37.33
253.0,31.6,61.8,142.3,55.8,44.15
392.7,471.4,56.0,171.8,16.5,35.27
258.8,326.6,56.4,739.6,36.3,5.0
344.3,466.4,36.9,788.8,79.3,35.6
378.2,328.8,31.6,299.4,67.6,58.71
298.2,142.2,76.2,697.1,11.3,34.16
128.7,351.0,48.7,431.5,73.2,10.24
285.6,456.6,63.3,434.4,14.8,23.16
51.5,216.3,67.4,125.5,95.1,26.7
411.1,380.1,56.9,400.5,36.0,45.31
278.1,394.0,38.8,343.6,47.9,21.32
484.2,178.1,75.1,483.8,12.0,93.49
393.7,497.4,76.8,156.6,10.9,44.02
359.5,164.9,60.7,746.1,83.1,38.49
80.8,210.7,56.8,293.8,13.8,21.12
272.1,79.8,57.5,270.2,77.7,13.29
426.4,427.9,70.3,356.4,64.9,59.51
269.5,79.0,47.8,581.1,76.5,23.59
438.7,256.9,78.2,519.1,88.4,72.92
224.0,171.0,40.5,611.3,72.0,5.0
141.8,263.8,68.9,660.2,84.2,14.05
264.3,444.1,30.8,443.5,40.1,16.79
250.6,346.5,33.8,321.5,90.8,15.78
371.2,442.6,52.2,158.1,52.6,27.92
178.8,377.4,59.7,609.4,10.7,8.01
304.4,476.3,43.0,131.7,85.9,19.36
424.2,116.6,50.7,311.0,79.7,61.56
199.5,357.0,30.7,144.2,45.5,7.45
459.4,41.7,56.0,507.6,51.6,91.36
489.2,318.1,50.6,271.3,20.1,95.14
318.4,311.3,31.9,230.3,14.6,24.08
142.8,27.6,44.7,263.8,89.8,56.02
425.9,40.7,78.1,408.3,30.6,91.93
239.0,497.7,71.4,224.9,51.9,17.0
286.9,423.5,69.3,587.3,29.4,17.77
231.9,475.2,37.9,231.9,58.9,6.94
354.3,21.3,72.2,169.6,24.9,76.97
331.5,39.9,78.6,529.2,38.3,50.44
110.0,495.5,47.7,300.8,42.6,15.51
170.5,428.7,58.8,178.6,56.9,5.0
345.2,489.2,30.9,336.0,82.1,36.61
451.3,250.1,40.9,706.2,48.0,80.38
255.5,243.4,43.8,705.6,86.7,7.01
476.4,395.6,60.2,157.9,29.2,76.01
431.1,466.4,57.3,774.9,53.7,68.42
269.9,126.8,79.4,647.5,33.9,23.56
131.7,29.4,77.0,341.1,15.6,51.79
337.7,198.9,77.5,757.8,10.1,48.45
497.8,323.3,59.5,507.1,74.2,92.17
398.2,450.7,57.1,176.2,10.5,38.3
453.6,228.3,41.0,217.8,88.8,87.98
179.1,74.9,77.3,251.4,32.5,21.98
459.8,144.4,72.2,667.2,44.6,80.57
463.7,51.8,55.1,153.4,86.2,91.58
160.5,186.6,63.3,344.5,18.1,18.87
284.7,284.0,56.0,566.5,90.6,5.0
148.7,74.7,53.8,603.9,65.6,19.37
137.0,33.8,59.5,369.0,64.3,35.32
108.5,150.4,72.9,562.5,82.3,24.72
210.9,118.4,49.1,298.1,90.6,16.41
215.8,353.6,76.2,341.5,44.8,23.3
75.0,440.4,49.6,343.3,89.3,21.49
271.7,433.1,63.5,560.3,10.7,8.17
468.3,248.5,51.2,462.1,36.6,75.79
281.2,238.8,30.1,132.6,46.8,27.29
239.2,480.8,69.3,312.2,28.4,17.93
169.1,154.7,58.6,428.1,28.6,7.59
162.1,234.5,51.7,596.6,43.7,11.33
51.0,291.6,77.0,254.7,22.8,39.01
341.6,188.4,68.7,623.4,67.0,43.25
58.0,68.1,74.6,195.5,20.3,43.63
271.2,174.9,41.8,497.6,82.0,20.66
387.3,424.6,66.6,690.8,55.8,39.69
135.7,170.5,58.5,483.0,79.6,5.0
118.9,100.5,53.8,632.6,12.1,25.92
395.4,441.1,70.5,305.7,97.6,47.66
166.5,303.7,50.9,372.6,45.8,6.31
120.5,449.3,58.6,646.4,67.6,5.35
411.2,130.6,67.6,410.2,25.6,56.74
431.0,186.6,38.1,591.7,39.3,55.89
130.9,171.5,35.8,343.9,92.0,16.49
257.6,53.5,46.0,215.8,44.4,31.91
279.1,112.6,66.8,407.8,61.0,15.88
125.4,134.3,49.7,464.3,63.6,14.64
221.2,11.3,70.9,532.5,22.2,100.41
71.6,292.7,77.2,716.8,85.7,42.92
66.7,189.0,50.8,320.1,39.2,29.28
160.6,455.6,63.8,437.0,22.3,5.0
102.3,169.5,44.3,640.5,37.5,21.19
424.9,405.6,68.1,734.0,88.1,54.29
165.0,461.5,53.0,389.6,53.6,8.45
250.6,311.9,70.7,272.1,78.7,8.86
83.5,151.1,76.0,354.7,46.8,31.17
244.0,197.3,57.7,785.9,21.4,10.5
453.4,143.1,73.3,731.8,26.7,84.68
441.8,411.6,41.3,366.0,83.4,70.95
375.2,363.7,71.4,419.8,20.6,45.06
369.8,73.9,51.8,759.1,83.0,50.6
303.6,199.7,52.9,244.6,96.0,11.65
413.2,230.4,59.5,596.6,80.9,56.46
357.6,254.7,57.1,241.3,82.9,31.21
402.4,259.4,37.1,738.4,33.6,65.33
101.9,118.0,62.9,144.7,55.3,21.39
475.4,58.5,49.7,569.2,69.8,90.82
435.5,269.8,53.0,623.1,55.8,60.63
85.0,76.6,64.2,128.2,65.6,36.59
124.9,497.5,43.3,756.9,29.0,10.79
96.6,393.6,38.2,733.8,55.4,31.29
115.3,103.8,49.6,651.3,20.4,16.08
479.5,134.1,76.9,628.0,58.4,94.38
203.3,430.9,35.8,105.9,36.0,15.3
217.3,25.1,38.9,257.1,84.4,43.71
189.9,74.1,44.7,274.3,31.0,26.44
54.6,89.8,37.4,309.8,81.5,51.33
227.8,459.7,75.6,380.2,80.1,17.64
189.4,23.1,71.0,231.8,83.2,59.67
89.4,135.2,58.9,340.3,37.2,24.47
407.7,139.8,41.1,608.6,46.3,58.14
492.0,358.5,72.9,124.4,34.9,100.07
411.8,307.8,34.1,463.0,36.7,61.49
127.2,84.7,65.5,574.8,19.7,15.37
373.5,491.2,56.4,647.8,76.9,32.15
307.0,205.1,58.1,735.1,15.6,17.19
458.0,345.1,33.7,557.3,52.0,79.4
182.2,425.8,74.9,496.0,99.7,5.0
241.7,485.0,30.7,343.7,51.2,12.81
212.0,445.6,47.9,364.1,35.1,5.0
142.8,262.1,51.4,725.8,58.3,5.94
329.9,167.9,43.0,549.2,93.2,27.3
307.3,333.9,77.2,686.6,48.0,22.35
254.7,196.6,40.4,604.1,76.5,14.21
290.0,174.2,31.5,481.1,91.7,24.52
416.5,443.5,30.3,307.3,49.9,54.71
173.2,425.6,73.7,407.7,43.5,18.98
423.6,367.5,30.8,562.3,42.3,58.22
345.6,434.0,53.2,662.0,94.6,26.89
470.0,426.6,63.0,649.8,37.9,78.06
265.8,387.8,60.3,680.5,55.8,21.25
447.1,185.1,62.7,698.5,79.1,76.29
480.5,194.0,35.7,516.8,99.9,91.83
85.6,155.2,48.2,446.7,24.4,27.84
105.3,344.0,62.1,711.0,85.5,22.51
163.9,248.6,79.1,685.9,69.6,19.06
149.8,260.8,76.5,446.1,15.7,17.93
183.6,237.9,36.4,226.7,74.5,13.31
178.5,115.2,57.2,698.5,84.6,19.19
386.4,326.0,49.8,524.6,52.6,41.56
78.7,388.8,72.0,370.4,21.9,25.28
75.3,95.8,65.0,690.7,14.9,17.84
397.9,260.4,47.2,186.0,78.3,44.71
62.7,238.0,64.0,235.1,81.0,25.78
286.7,224.4,47.8,541.2,33.8,12.04
170.4,141.5,51.2,588.4,28.5,5.0
420.0,297.7,68.4,704.9,11.3,56.42
446.0,395.0,40.0,188.1,97.7,69.55
120.6,228.7,73.6,255.6,41.1,16.55
210.7,321.2,75.8,497.4,17.7,11.73
212.9,428.7,75.6,547.5,72.1,9.03
357.1,145.9,74.2,601.1,23.5,33.13
280.5,403.7,36.4,454.2,88.0,20.57
354.5,84.5,40.3,271.0,11.3,41.21
393.3,299.5,36.3,684.0,56.4,42.44
272.0,440.4,53.2,490.3,56.0,7.85
177.1,347.0,46.3,463.9,40.9,5.0
67.6,343.0,38.6,526.1,46.1,25.62
370.3,232.4,32.2,408.7,25.3,49.14
414.3,383.7,34.8,571.2,99.1,62.69
283.2,469.1,68.7,226.8,88.8,10.14
181.3,459.7,59.2,315.0,54.2,5.0
198.0,245.9,78.4,598.2,73.1,18.9
344.5,489.2,61.8,454.6,58.0,32.0
348.8,358.2,54.3,272.3,36.5,14.91
227.8,124.6,49.6,366.0,46.5,8.25
401.2,490.6,72.4,241.7,59.0,50.8
200.3,205.1,54.4,628.1,69.9,5.0
441.7,165.8,37.7,242.5,49.9,78.73
134.0,398.4,55.2,242.7,30.8,7.27
91.0,438.6,58.2,481.3,44.1,17.33
323.3,480.5,53.0,272.7,39.3,20.64
420.1,172.7,73.8,739.6,11.1,64.41
295.5,481.8,35.2,574.7,70.0,26.48
311.3,278.7,35.5,401.9,58.6,28.67
168.1,80.7,78.7,590.7,12.2,22.02
429.2,302.0,52.4,688.6,67.0,66.78
284.8,120.9,75.5,352.2,91.7,28.39
319.0,374.5,33.2,162.2,35.6,19.1
228.7,402.2,38.7,686.6,82.1,17.14
173.4,344.9,66.9,383.5,15.6,7.81
341.0,114.9,41.9,406.9,30.4,32.83
404.0,167.8,60.7,225.3,52.8,56.83
191.0,409.9,53.1,443.3,92.4,16.34
62.8,430.8,45.1,622.1,56.3,21.81
75.5,49.0,76.0,240.9,93.5,49.2
122.1,268.6,78.5,556.8,61.9,18.6
114.7,103.6,58.4,295.8,87.0,9.59
323.4,361.7,41.7,522.6,21.1,24.63
266.0,348.7,47.7,235.3,29.3,5.0
287.8,146.9,39.7,565.3,20.7,21.48
163.4,281.6,54.2,544.5,13.5,6.07
410.6,407.0,49.8,468.1,22.8,48.69
89.2,408.5,65.7,514.9,45.7,12.43
448.0,464.3,51.4,178.0,19.5,66.48
461.0,335.4,60.5,727.4,51.7,79.03
323.9,123.9,72.5,703.6,91.0,25.07
433.3,227.7,38.3,111.6,77.1,69.69
139.3,461.0,37.1,485.3,28.4,6.38
336.1,422.3,67.8,375.1,95.0,29.84
360.1,198.8,37.1,769.8,47.6,32.91
241.7,66.4,34.4,787.2,65.3,22.77
110.4,387.3,41.7,568.9,31.2,23.66
456.8,168.5,62.4,729.8,20.0,74.51
106.5,158.4,76.3,580.5,76.3,33.03
493.7,419.6,70.4,572.7,38.4,95.8
249.7,179.6,80.0,450.1,53.6,17.8
470.3,259.1,75.7,164.9,65.6,87.19
247.0,243.4,41.8,173.5,67.2,15.34
479.7,345.6,40.0,502.6,65.1,90.38
484.4,115.9,32.2,489.2,32.4,102.42
372.5,165.5,43.9,160.5,22.6,39.58
278.0,70.7,48.2,476.2,41.1,24.64
87.4,58.1,61.9,732.4,48.0,43.52
469.0,141.2,43.7,797.6,78.5,84.49
124.8,317.5,44.6,651.6,92.4,12.18
471.3,89.0,72.4,243.3,19.9,102.13
226.0,189.7,69.1,237.4,84.1,12.64
424.0,309.9,48.7,121.5,46.5,49.2
445.1,61.4,39.0,269.1,41.0,86.15
175.0,155.3,39.5,370.0,73.2,16.18
408.0,17.9,34.8,407.7,27.3,102.84
376.3,484.4,71.1,112.1,81.9,39.14
455.6,278.6,78.7,710.5,71.7,83.17
332.0,26.2,59.6,289.3,40.2,61.02
498.5,487.0,32.6,555.6,40.2,97.82
472.9,214.7,35.2,266.9,13.4,87.07
394.9,448.0,62.3,121.5,36.0,47.62
386.6,291.1,70.1,280.4,47.3,36.0
175.1,383.6,77.1,367.1,45.5,10.84
438.1,353.6,74.7,619.4,53.0,69.06
167.4,153.2,50.8,570.8,91.6,7.39
241.7,65.3,51.8,650.7,37.6,9.56
77.3,475.4,73.7,403.0,56.8,20.98
336.3,232.3,54.3,681.7,97.6,21.61
188.0,337.9,60.7,767.9,98.1,5.0
476.0,307.3,73.1,617.2,30.7,81.14
273.7,436.9,51.3,272.8,59.4,18.39
285.4,363.9,40.9,408.2,42.8,16.71
84.5,453.3,76.5,626.9,75.9,21.81
471.4,206.9,41.6,461.6,85.6,80.56
374.7,275.9,72.3,506.5,16.4,49.07
496.5,72.5,40.2,527.2,32.0,110.3
329.7,192.6,60.4,526.0,33.4,23.85
227.9,387.6,65.6,444.8,28.4,6.84
394.8,59.9,31.0,548.8,30.8,66.68
225.5,31.3,67.6,305.7,20.3,34.38
218.4,290.3,63.1,699.9,11.3,5.07
283.0,188.3,45.4,704.4,27.6,20.18
459.9,330.2,71.4,798.6,15.6,74.94
348.3,113.9,39.9,476.8,69.2,45.29
491.9,398.1,53.6,339.2,15.2,103.97
142.1,284.9,49.1,284.6,31.2,8.06
437.4,268.9,33.4,728.4,30.2,64.77
277.4,344.6,73.5,667.0,43.6,24.1
477.6,478.7,43.8,640.3,33.4,79.71
321.4,152.4,58.0,290.5,77.4,28.7
114.3,471.6,73.9,128.3,21.5,21.48
324.8,107.2,62.2,239.0,69.8,31.73
222.6,442.7,53.4,578.3,10.4,5.0
327.6,258.6,43.2,248.9,32.5,36.4
54.9,354.2,74.9,169.2,74.2,38.75
229.2,291.8,71.0,121.4,20.6,16.62
230.8,488.9,63.6,654.3,31.8,11.16
381.8,188.4,79.8,300.3,14.5,54.43
260.6,238.4,40.9,724.3,75.5,18.7
216.2,267.8,70.9,658.1,64.5,5.0
132.5,40.0,54.0,385.7,88.9,30.57
167.5,345.5,61.3,530.5,39.6,8.85
138.8,274.8,45.0,775.5,41.3,15.82
257.6,365.0,45.0,315.4,90.4,14.64
350.6,178.6,54.0,405.9,28.1,46.46
146.1,366.0,46.6,489.6,86.7,9.67
420.4,125.5,78.1,223.3,74.0,66.73
242.4,67.6,71.4,209.1,26.9,21.25
314.9,18.8,41.3,447.6,86.6,76.01
230.0,213.4,79.6,507.3,78.6,24.21
302.9,489.0,65.2,689.7,53.3,23.27
409.3,291.2,65.7,189.1,15.0,50.38
427.0,257.2,31.6,630.7,60.8,64.02
227.9,16.9,59.2,341.2,98.5,61.75
294.1,279.7,71.5,391.1,80.0,27.36
189.3,160.2,49.9,310.4,95.7,14.04
126.2,301.0,61.2,265.6,69.5,14.98
210.6,377.4,56.8,669.5,95.9,5.0
465.2,380.6,76.2,158.1,37.8,82.63
307.7,287.4,32.9,164.5,82.3,26.59
293.5,144.2,38.9,786.6,93.7,33.45
142.5,239.6,52.7,626.2,53.9,5.0
256.3,26.5,76.4,457.0,27.2,51.14
302.3,473.7,41.9,184.4,13.8,24.19
446.0,220.1,66.5,348.6,23.7,63.19
479.5,84.6,49.0,170.4,94.0,90.99
306.9,55.5,63.8,691.4,49.0,25.84
366.0,486.1,58.1,371.7,28.9,33.02
248.5,283.5,53.1,377.0,34.8,11.91
328.3,58.9,36.3,701.4,12.0,34.91
304.7,194.6,45.3,685.5,11.9,27.67
277.3,266.6,72.5,265.9,61.3,9.22
439.8,404.8,75.6,512.1,14.5,68.2
56.7,189.0,53.8,697.3,93.9,33.91
221.1,106.7,73.1,379.4,83.1,21.69
182.3,311.1,45.0,679.5,53.3,5.88
303.3,410.2,50.0,272.9,88.4,17.39
120.0,180.9,35.7,205.0,98.5,21.08
94.6,35.7,30.2,620.0,23.3,42.3
286.5,300.6,36.7,375.1,65.4,17.95
99.9,427.9,56.7,581.7,81.3,21.03
430.9,446.9,73.4,329.3,83.6,66.62
240.1,125.9,40.4,765.3,23.9,15.67
410.1,449.5,70.9,432.7,50.3,48.66
341.7,185.6,30.7,479.6,46.4,38.64
421.3,33.1,77.9,311.5,96.7,96.02
69.4,358.6,45.8,610.5,54.6,28.9
83.5,14.0,65.9,451.5,52.1,82.49
307.4,434.7,75.1,700.7,83.9,23.73
147.7,295.4,45.0,635.9,12.2,12.62
390.3,489.5,74.0,601.0,82.3,43.92
446.2,322.4,70.8,339.8,45.9,66.76
276.4,429.9,50.2,521.0,72.2,6.37
133.5,132.6,32.8,265.3,33.0,29.0
149.6,426.5,39.1,493.5,38.3,14.54
363.6,467.2,77.8,797.8,87.3,44.82
108.9,243.4,46.1,130.4,55.0,14.09
89.5,443.5,55.3,504.8,85.8,12.95
410.9,392.0,59.9,577.9,99.0,43.68
385.4,410.3,33.9,211.1,70.9,43.17
344.3,71.2,74.5,772.3,39.3,38.56
496.1,147.1,39.1,759.0,43.3,104.01
255.2,193.2,47.4,450.6,53.0,5.0
418.8,40.5,68.3,319.9,82.8,76.83
161.7,455.1,45.7,432.3,39.7,5.0
322.8,25.8,75.7,192.7,82.8,59.21
180.9,454.7,59.1,102.4,28.6,5.0
301.7,273.2,58.3,724.9,94.3,16.5
301.4,424.0,66.7,369.5,30.3,11.78
86.5,204.1,30.7,302.6,71.1,21.08
455.1,191.6,65.9,587.4,55.5,75.66
106.4,243.1,63.2,504.8,18.3,10.2
258.2,330.9,36.2,620.5,41.9,20.55
219.5,43.9,76.7,156.9,10.5,29.17
376.1,162.0,74.0,105.0,59.2,44.29
330.8,322.5,47.2,756.3,19.2,26.32
343.2,193.0,77.3,581.1,27.6,50.41
355.7,429.0,71.7,684.3,54.7,33.45
255.1,340.8,62.9,325.0,68.8,17.95
430.9,16.5,59.8,798.4,75.6,120.42
239.9,81.3,51.2,577.5,12.6,18.91
408.9,470.6,53.4,113.2,96.8,49.5
317.5,378.9,46.0,648.0,51.4,22.08
87.7,325.9,58.9,744.9,12.7,24.5
98.5,178.0,68.1,597.6,16.5,27.18
236.9,147.0,68.1,350.2,44.4,6.3
480.5,298.8,53.2,154.5,68.4,93.39
490.1,416.4,31.2,790.0,44.3,99.32
303.1,24.5,40.3,617.8,60.6,56.97
217.4,304.7,73.6,454.7,93.2,6.86
130.0,289.7,69.3,254.5,48.9,21.47
450.5,140.5,52.0,435.4,42.4,65.68
360.7,229.9,51.8,605.9,46.6,37.24
362.5,320.6,77.8,244.5,64.9,53.76
364.4,334.2,63.5,648.7,51.9,40.15
395.8,400.1,75.4,139.7,89.1,43.18
394.2,395.2,30.4,559.2,27.2,51.21
323.2,409.8,43.4,366.0,28.2,23.13
373.5,273.3,39.6,159.4,27.6,51.0
197.1,143.9,52.8,424.9,28.3,10.59
201.2,130.6,37.5,417.6,75.6,18.05
174.3,350.2,65.4,749.2,97.2,14.4
167.7,304.5,79.4,782.2,46.5,16.55
439.7,19.7,37.7,276.7,28.6,125.83
70.1,304.0,66.0,403.9,40.8,27.57
438.0,100.5,66.6,398.9,57.5,78.11
416.1,137.7,53.4,631.9,91.2,62.31
449.4,126.6,37.0,742.9,68.2,76.13
311.7,116.0,72.7,774.0,40.3,34.64
335.4,235.4,57.8,698.2,42.9,24.17
333.7,15.3,64.0,372.7,89.0,86.61
332.8,281.5,51.0,642.4,33.3,22.9
256.2,295.4,50.9,503.4,82.8,18.43
466.4,54.9,73.2,491.2,42.8,104.02
89.7,91.0,65.6,768.1,82.2,30.14
337.4,479.7,48.9,486.7,93.5,17.37
233.6,153.3,67.6,784.7,86.5,18.47
60.6,92.2,73.4,559.7,18.7,37.74
470.3,389.4,40.3,712.6,71.2,85.03
469.9,86.7,61.6,135.4,24.6,88.17
432.1,168.1,44.4,574.8,33.7,63.07
102.1,250.7,30.7,552.9,37.7,30.71
323.0,19.9,70.3,755.7,59.2,75.36
71.3,459.9,75.8,689.8,47.2,19.77
115.7,438.1,59.2,371.5,95.3,17.86
164.4,30.2,39.4,415.2,98.3,38.37
490.7,89.9,66.9,404.2,35.3,96.42
492.7,388.2,55.5,427.7,41.7,93.91
60.7,359.6,64.6,424.6,61.3,23.75
313.8,17.1,64.2,797.6,76.9,73.1
133.7,496.9,75.7,764.0,75.9,12.14
148.8,252.0,49.4,309.5,21.7,5.07
149.3,147.4,66.7,125.6,47.7,13.08
149.4,398.7,73.2,683.4,21.6,14.85
396.9,429.0,41.2,323.3,66.8,45.37
428.0,303.6,71.3,451.5,83.2,62.35
102.5,230.4,73.8,201.5,62.5,14.16
306.1,350.7,33.3,288.4,65.2,16.35
457.9,291.5,45.3,352.7,94.1,76.67
465.3,183.3,70.5,285.7,28.1,88.93
441.2,259.9,78.2,451.0,56.4,73.86
370.3,236.1,74.0,296.9,51.0,41.07
427.3,401.9,42.3,385.9,17.2,59.14
322.7,183.2,34.6,139.2,31.8,29.01
50.5,30.1,75.2,333.8,49.6,61.55
305.9,244.8,75.6,228.2,44.3,30.77
109.5,97.7,75.4,658.5,24.8,42.44
67.5,353.9,31.3,724.0,23.9,23.6
161.1,137.1,46.4,449.6,71.1,18.0
170.9,267.2,31.7,178.4,61.3,20.21
491.2,191.2,70.6,200.4,25.6,95.17
425.2,323.9,59.0,329.2,33.8,52.59
73.0,308.4,55.5,670.2,93.4,21.09
299.6,60.6,67.3,291.4,95.8,28.6
167.6,211.5,40.5,193.7,43.7,15.72
398.8,20.6,57.8,448.4,63.2,92.78
223.4,215.6,49.7,295.0,44.5,8.81
453.9,145.1,79.6,229.6,96.5,83.1
75.2,292.9,41.6,630.0,34.3,24.92
112.6,208.0,75.3,113.2,30.1,20.49
114.5,74.8,35.0,251.5,69.4,33.69
498.0,260.3,42.3,685.1,53.3,100.81
208.8,244.2,66.6,154.1,58.8,11.38
387.7,10.8,56.6,521.9,20.8,136.9
132.4,374.9,61.8,255.8,89.2,14.87
54.5,401.6,31.3,155.0,89.0,30.46
196.4,67.3,48.3,343.1,16.4,19.94
444.0,472.8,60.7,448.6,20.5,62.88
95.7,19.1,57.2,105.2,79.3,72.77
175.1,119.2,47.5,253.4,16.2,16.02
196.1,192.2,37.1,105.3,92.1,10.02
401.3,81.6,58.9,129.5,26.4,57.33
282.5,204.8,32.0,377.4,19.7,19.57
356.0,20.0,44.3,477.8,65.5,84.07
329.9,448.9,34.7,496.2,17.2,30.03
447.1,36.3,76.9,243.5,10.0,98.79
383.5,168.7,40.5,434.2,52.5,53.37
219.4,320.3,37.9,477.4,33.3,17.06
216.3,462.3,78.6,758.8,15.4,9.96
281.1,273.2,78.6,174.6,64.9,26.56
390.9,204.9,70.6,192.8,60.3,51.9
205.5,494.0,34.4,681.2,78.8,17.88
455.0,384.5,36.7,101.4,63.8,73.83
300.5,342.0,63.2,177.7,67.3,15.75
169.4,481.2,74.3,638.6,36.6,15.28
264.3,490.6,36.6,249.9,66.3,13.54
79.6,326.9,47.7,714.0,19.2,27.53
103.6,66.8,33.3,466.5,86.5,33.92
389.8,52.1,38.4,579.3,53.1,68.24
67.2,453.7,49.4,278.7,68.4,19.19
208.4,25.3,38.8,725.7,47.0,50.91
173.1,60.0,68.2,369.3,18.2,29.5
65.5,151.6,60.6,228.5,96.9,38.22
264.5,356.5,36.6,602.4,15.6,12.74
193.3,357.8,75.2,531.1,80.9,8.97
131.8,159.2,32.8,669.0,42.2,25.05
308.4,285.1,56.5,268.2,72.3,7.85
75.7,365.0,76.4,582.1,85.2,19.9
418.2,279.8,54.5,390.5,48.3,50.44
123.6,332.2,48.4,380.9,46.0,15.52
347.1,135.7,39.9,469.6,94.9,31.72
476.4,201.4,72.6,777.5,54.3,95.67
335.5,228.1,61.5,172.6,26.9,22.5
134.9,421.3,37.7,278.4,64.0,24.85
443.0,409.8,79.7,726.5,53.7,70.27
357.5,254.9,68.4,704.1,16.7,35.17
357.9,26.6,38.7,224.7,88.0,61.68
106.9,313.6,37.4,336.9,22.9,20.15
262.1,494.5,66.3,262.9,62.1,11.69
113.7,34.7,53.3,458.5,78.8,36.07
370.2,268.9,47.8,285.7,41.0,33.16
446.6,310.9,69.5,716.7,55.8,79.44
400.0,224.6,76.7,604.2,77.0,49.65
98.9,456.6,55.9,224.9,57.6,5.0
455.4,445.8,65.7,727.9,27.7,71.32
343.3,64.1,75.4,670.0,12.7,49.28
431.9,357.9,59.2,698.0,12.9,60.81
221.5,156.3,51.4,750.8,76.8,13.9
487.2,314.8,36.0,764.3,28.9,93.7
243.3,493.4,38.8,629.8,60.2,6.3
395.5,202.3,35.0,484.0,21.7,60.0
419.8,242.6,73.5,508.5,89.7,68.48
82.8,453.0,76.9,191.5,70.2,34.54
495.2,240.8,50.6,665.3,52.1,88.82
70.1,380.1,78.1,696.4,84.3,33.17
485.5,232.5,45.4,393.2,34.4,89.12
311.5,338.5,56.2,480.6,37.6,23.58
409.9,138.5,68.6,481.9,49.3,62.85
213.5,241.0,38.3,634.0,94.3,9.32
360.2,89.2,36.2,575.8,31.4,46.5
283.1,492.6,75.4,401.6,55.5,20.26
