nozzle_temp_c,print_speed_mm_s,layer_height_mm,cooling_fan_pct,retraction_mm,print_quality
185.6,24.2,0.186,57.1,7.03,0.6923
218.2,104.8,0.115,44.2,4.26,0.5431
190.8,86.0,0.36,85.9,3.18,0.6411
230.7,66.8,0.212,95.9,6.98,0.7941
230.8,50.7,0.252,14.6,5.34,0.7207
212.4,76.7,0.367,4.7,3.87,0.6683
242.0,83.7,0.336,6.8,3.78,0.507
244.6,116.5,0.102,4.1,4.24,0.1574
172.1,51.1,0.393,60.5,6.99,0.5583
244.9,79.5,0.181,87.3,2.96,0.579
227.0,95.8,0.111,84.7,6.86,0.5827
211.1,82.3,0.336,84.8,3.33,0.7543
220.5,107.0,0.137,70.3,7.65,0.4685
240.0,105.4,0.385,24.3,6.81,0.258
189.8,76.2,0.184,27.9,1.44,0.7785
170.5,47.2,0.317,84.5,1.04,0.6403
213.8,105.9,0.345,37.1,1.73,0.484
217.7,52.3,0.142,82.2,1.99,0.8581
229.8,102.7,0.298,53.3,2.59,0.4907
243.7,75.0,0.239,25.8,5.53,0.6317
187.8,39.1,0.271,3.9,7.76,0.7492
185.7,100.1,0.151,93.6,2.99,0.5038
217.3,44.5,0.303,85.9,4.49,0.8319
173.6,111.6,0.179,39.2,0.85,0.3272
182.8,35.3,0.365,35.4,7.49,0.6261
178.9,29.1,0.253,99.0,4.41,0.6496
177.4,87.3,0.206,8.1,3.98,0.5169
207.7,76.3,0.169,66.6,1.92,0.8458
234.5,68.2,0.143,76.6,6.44,0.7739
228.2,46.1,0.265,82.2,4.71,0.7963
231.6,75.7,0.357,29.9,4.31,0.6698
203.7,69.2,0.329,72.1,6.67,0.8471
187.5,43.8,0.279,23.6,6.91,0.743
213.1,75.8,0.376,14.4,4.68,0.6812
198.8,97.0,0.188,51.4,5.87,0.6001
203.6,97.8,0.227,82.8,5.01,0.6813
198.3,48.5,0.328,54.1,6.3,0.8325
207.0,37.2,0.305,64.8,3.25,0.9105
187.7,26.1,0.176,1.4,6.03,0.7037
242.1,26.3,0.199,62.5,3.53,0.6832
170.2,32.6,0.324,78.8,2.55,0.5866
176.0,117.0,0.398,8.4,5.45,0.104
237.9,46.8,0.288,65.3,3.72,0.7356
247.9,43.2,0.353,10.2,2.29,0.582
245.7,40.7,0.1,83.1,3.76,0.6624
180.2,87.3,0.178,27.8,4.73,0.5888
236.4,53.1,0.337,33.9,7.21,0.6943
181.0,40.3,0.255,40.5,6.54,0.7373
227.4,35.8,0.141,10.7,2.4,0.731
247.4,100.5,0.331,15.6,3.49,0.2818
230.8,108.3,0.259,69.0,0.61,0.5053
248.8,74.1,0.382,48.6,1.68,0.5408
232.3,101.2,0.277,82.3,6.7,0.484
244.7,85.9,0.19,99.4,1.03,0.5577
211.1,60.9,0.144,13.6,2.52,0.8149
228.9,70.9,0.126,1.1,5.77,0.6339
203.7,32.8,0.132,31.1,2.65,0.8172
242.5,75.9,0.217,48.4,1.05,0.7137
232.3,66.1,0.117,21.8,2.36,0.7713
221.4,113.2,0.251,96.3,5.29,0.4174
242.0,100.0,0.26,14.6,6.29,0.431
248.5,47.6,0.102,9.2,3.78,0.6184
174.3,97.9,0.23,81.4,4.55,0.3949
247.4,115.0,0.239,28.8,1.45,0.2138
220.2,39.3,0.101,50.4,2.74,0.875
222.2,58.9,0.154,47.8,4.54,0.9108
243.7,63.0,0.253,31.9,3.27,0.7236
170.6,40.5,0.255,79.7,6.75,0.6313
188.0,70.4,0.145,33.0,2.85,0.7463
173.2,37.7,0.141,63.5,3.72,0.7041
197.0,75.5,0.289,61.7,6.04,0.7912
221.5,112.2,0.278,17.7,1.79,0.4108
209.0,50.3,0.273,78.7,2.21,0.9631
195.8,113.6,0.238,95.4,7.04,0.3811
239.7,111.5,0.245,37.2,7.17,0.3036
209.8,36.2,0.346,58.6,3.21,0.8421
218.6,57.0,0.266,58.6,4.12,0.8855
184.4,41.3,0.124,59.2,3.06,0.8097
194.3,66.7,0.294,85.8,7.36,0.7786
189.5,118.6,0.389,68.0,0.99,0.2585
225.8,29.3,0.128,37.5,3.39,0.8315
206.2,114.0,0.1,61.1,5.78,0.4482
243.8,51.5,0.35,2.3,6.69,0.5757
249.6,105.8,0.333,33.5,6.51,0.2715
236.7,85.4,0.186,48.5,4.63,0.6146
196.5,80.1,0.198,93.8,4.02,0.7632
220.8,29.5,0.231,82.3,7.75,0.8184
233.0,25.1,0.187,80.9,1.95,0.7489
179.3,103.0,0.235,20.2,6.11,0.4114
215.5,117.6,0.376,10.5,6.98,0.2404
238.3,31.4,0.145,73.0,3.18,0.7329
211.0,46.5,0.166,19.1,1.61,0.8913
182.0,80.7,0.151,14.4,4.26,0.5826
183.7,75.0,0.35,77.8,6.8,0.6554
228.6,33.6,0.31,1.2,0.99,0.7574
238.9,87.3,0.347,42.4,5.75,0.5643
226.5,118.1,0.389,62.5,1.67,0.2641
231.1,101.6,0.34,19.5,3.54,0.4268
229.6,28.8,0.368,44.6,5.38,0.6855
240.3,45.9,0.241,37.6,3.81,0.7719
239.0,90.4,0.215,74.5,3.91,0.5918
206.5,106.7,0.218,12.4,5.49,0.5062
206.7,40.0,0.256,19.9,2.95,0.9006
235.5,116.8,0.222,49.0,2.45,0.3688
184.5,40.2,0.262,58.8,1.42,0.8314
247.7,89.7,0.383,4.0,4.69,0.3169
228.9,25.2,0.398,11.5,4.05,0.5768
233.3,77.8,0.367,92.4,5.39,0.6572
235.3,44.3,0.105,84.8,6.8,0.753
234.7,79.4,0.243,17.6,2.75,0.6078
215.3,102.9,0.121,91.3,7.74,0.5269
183.0,22.6,0.246,17.9,6.48,0.6783
247.7,39.0,0.323,18.9,1.19,0.5653
216.0,68.3,0.178,23.3,5.95,0.8351
218.4,21.0,0.288,11.8,4.91,0.7361
200.5,113.2,0.258,39.0,5.04,0.4605
231.9,112.0,0.356,44.6,7.08,0.3554
239.6,46.0,0.15,20.0,7.97,0.7289
227.4,37.7,0.378,46.6,7.8,0.7667
218.0,119.8,0.207,50.9,6.94,0.369
248.4,56.2,0.193,78.5,2.25,0.6505
241.3,103.9,0.108,68.5,0.64,0.4303
198.9,74.4,0.103,8.1,4.85,0.7623
243.5,113.4,0.154,64.2,7.98,0.2414
176.9,24.3,0.3,15.1,1.12,0.5937
183.7,61.5,0.376,77.6,5.56,0.6681
171.2,98.6,0.209,24.1,4.35,0.3633
175.6,23.4,0.117,2.9,7.53,0.5545
174.4,86.0,0.179,18.7,1.42,0.5283
246.0,29.6,0.183,50.4,7.19,0.6069
199.6,78.2,0.229,68.4,7.46,0.7894
191.9,99.1,0.371,23.6,3.81,0.5186
190.5,25.6,0.24,42.8,2.87,0.7504
239.9,94.6,0.395,28.4,7.92,0.3966
241.9,98.2,0.394,36.7,4.31,0.3804
218.7,75.7,0.327,17.0,6.25,0.7017
222.5,90.2,0.295,11.0,5.08,0.5934
232.9,35.5,0.148,57.7,1.98,0.8142
193.7,76.6,0.13,35.5,4.43,0.7558
239.1,97.0,0.183,62.3,2.8,0.5711
211.7,46.7,0.202,20.9,6.73,0.8409
225.5,30.4,0.349,71.6,5.06,0.7119
209.3,83.0,0.336,8.4,4.75,0.6877
184.4,41.1,0.391,55.6,5.46,0.7065
232.4,90.0,0.319,91.9,4.03,0.6033
208.0,73.0,0.149,69.2,1.68,0.8658
182.5,114.9,0.387,53.8,7.2,0.2164
230.5,76.4,0.212,67.3,5.03,0.7872
213.5,20.2,0.133,80.4,6.04,0.8056
203.2,67.3,0.228,78.9,6.93,0.8311
209.3,86.8,0.216,36.9,6.99,0.7408
191.2,76.7,0.262,34.6,1.75,0.7161
173.2,43.3,0.392,69.7,2.93,0.6412
235.4,66.9,0.142,47.3,4.09,0.8149
174.6,115.3,0.137,74.4,0.55,0.2394
183.0,73.8,0.24,39.9,3.58,0.7372
209.8,28.7,0.286,77.2,1.62,0.8662
203.9,69.7,0.321,42.0,4.77,0.7835
210.4,26.8,0.256,54.8,1.66,0.8285
239.3,79.9,0.123,35.2,3.27,0.6591
248.0,29.4,0.375,79.9,4.28,0.5458
203.9,59.8,0.196,45.5,7.08,0.8675
248.2,42.7,0.377,13.8,8.0,0.4697
178.5,109.4,0.332,60.3,5.81,0.315
173.9,35.1,0.335,52.0,7.69,0.6117
227.4,59.6,0.236,54.5,6.59,0.8208
174.0,62.3,0.113,5.6,6.26,0.5311
184.3,41.3,0.277,58.6,2.33,0.7964
189.4,54.6,0.396,19.8,3.68,0.6789
243.3,100.8,0.362,10.4,4.08,0.2984
195.0,100.9,0.186,10.8,4.39,0.528
218.7,25.0,0.237,71.3,4.23,0.8175
185.4,51.7,0.257,67.2,7.33,0.782
186.5,63.5,0.295,82.7,1.12,0.7579
212.8,55.9,0.271,37.0,5.89,0.8592
240.2,81.0,0.325,96.7,1.56,0.5659
232.8,108.3,0.336,89.4,3.7,0.3983
213.7,116.5,0.147,75.5,6.28,0.4154
228.3,79.9,0.346,5.5,3.35,0.5868
229.5,109.0,0.329,75.1,3.13,0.4035
210.4,92.1,0.132,97.7,7.44,0.6015
194.5,118.5,0.11,26.5,4.27,0.3185
195.2,42.6,0.233,43.6,5.75,0.8532
245.8,57.0,0.11,64.4,1.41,0.696
201.0,95.3,0.305,16.1,6.14,0.6028
210.3,93.6,0.283,28.2,7.51,0.6441
175.7,63.8,0.2,27.7,1.82,0.6538
231.1,60.7,0.225,63.9,4.86,0.8709
231.1,79.7,0.137,77.4,2.27,0.6815
230.4,59.1,0.38,17.9,5.21,0.6737
212.6,52.5,0.201,85.5,7.02,0.8819
246.7,80.6,0.13,47.4,3.39,0.5855
219.1,103.7,0.134,91.8,6.38,0.566
188.6,32.1,0.165,73.9,5.26,0.8087
220.3,43.8,0.354,25.8,2.52,0.8032
205.8,53.9,0.371,8.4,4.31,0.7923
187.3,83.5,0.258,25.9,3.56,0.6893
183.4,87.2,0.307,28.3,5.16,0.6168
170.7,87.7,0.306,39.2,1.98,0.4996
212.8,104.9,0.214,15.3,5.35,0.5156
193.2,31.6,0.158,60.6,4.46,0.8289
174.5,69.2,0.155,0.0,2.75,0.5962
175.5,73.2,0.359,60.0,0.91,0.5921
242.9,25.2,0.157,14.3,4.77,0.6575
232.4,75.6,0.374,21.0,4.42,0.6648
208.6,110.1,0.347,74.5,4.3,0.4279
247.9,63.2,0.253,95.6,7.29,0.6081
216.8,46.6,0.399,44.5,3.26,0.8362
222.1,84.2,0.293,64.6,1.32,0.737
193.3,99.8,0.255,67.1,6.67,0.5881
170.0,53.9,0.163,25.3,1.03,0.6195
218.3,32.5,0.334,24.3,6.26,0.7741
231.9,94.1,0.13,45.0,4.27,0.5808
234.8,111.5,0.304,30.4,6.5,0.3414
230.7,85.0,0.252,81.4,3.91,0.6158
185.0,21.6,0.237,14.9,4.89,0.6635
210.2,77.9,0.254,12.5,4.12,0.7282
178.0,82.4,0.172,10.2,4.21,0.5777
242.6,95.2,0.308,55.7,4.16,0.4203
182.7,72.4,0.255,10.5,3.51,0.667
190.7,83.1,0.392,54.1,1.8,0.6733
236.0,65.3,0.198,83.1,7.75,0.7502
185.6,49.1,0.38,52.4,5.9,0.7164
242.4,95.0,0.331,99.2,2.56,0.4307
228.4,73.6,0.343,96.1,4.84,0.7102
232.3,114.0,0.334,94.9,4.37,0.3355
205.2,24.3,0.175,61.1,5.57,0.8296
237.2,62.4,0.323,47.7,6.79,0.7336
242.0,57.4,0.286,76.9,5.02,0.7349
192.3,70.6,0.311,29.0,3.86,0.7609
238.6,100.5,0.359,22.1,3.53,0.4308
178.0,35.3,0.255,40.2,3.49,0.7368
173.4,94.1,0.186,38.2,6.1,0.4773
198.8,110.2,0.348,60.8,3.47,0.4294
191.4,114.8,0.262,69.5,7.45,0.3945
245.8,77.8,0.175,53.9,7.15,0.5722
245.4,112.4,0.202,93.4,0.75,0.2619
217.5,88.1,0.333,30.9,6.27,0.6019
227.8,80.4,0.337,75.3,3.32,0.7131
198.2,90.6,0.326,40.9,2.62,0.675
215.4,112.6,0.384,43.8,2.49,0.3623
171.3,20.9,0.188,66.8,1.34,0.5497
192.0,90.7,0.194,79.7,3.16,0.6755
192.3,49.3,0.393,36.4,3.84,0.7826
236.8,41.3,0.114,36.5,2.28,0.7897
188.1,57.1,0.104,85.4,3.05,0.7669
192.8,77.1,0.211,26.0,7.27,0.7934
192.6,31.1,0.312,63.8,4.01,0.8461
171.2,43.6,0.396,77.8,3.13,0.5484
192.7,109.2,0.156,66.1,4.07,0.5493
186.1,64.5,0.36,88.8,4.15,0.7009
186.8,34.8,0.189,84.2,5.43,0.7608
171.0,22.3,0.365,72.0,5.29,0.5236
221.8,63.6,0.161,27.9,7.1,0.8244
239.2,33.2,0.121,37.3,0.72,0.6937
232.7,96.9,0.211,20.7,6.32,0.519
240.7,86.4,0.349,31.8,5.89,0.5181
205.8,33.4,0.232,61.3,7.72,0.8634
216.5,38.3,0.154,86.9,0.91,0.8838
228.5,22.9,0.172,11.9,7.63,0.7197
239.1,119.4,0.301,57.9,0.64,0.2258
198.3,72.7,0.19,81.5,7.95,0.8009
179.3,69.2,0.278,26.0,2.3,0.7084
171.4,32.4,0.349,25.8,4.27,0.5433
230.6,87.6,0.263,91.2,4.38,0.6473
180.8,110.8,0.186,63.1,4.69,0.3526
178.3,111.5,0.113,69.3,6.35,0.2958
226.3,89.9,0.397,28.1,4.68,0.5376
227.6,102.1,0.221,26.7,7.18,0.5447
185.3,76.4,0.295,55.4,0.6,0.7262
180.5,76.9,0.38,60.7,1.96,0.5794
212.5,100.2,0.233,48.0,6.34,0.6335
243.6,70.1,0.202,91.8,4.25,0.6559
218.6,69.0,0.191,94.2,6.14,0.8526
249.7,71.1,0.274,96.0,5.22,0.499
185.7,40.1,0.243,18.1,2.55,0.7989
190.4,108.4,0.272,51.6,4.02,0.4288
207.9,47.1,0.235,27.4,3.42,0.8937
179.6,119.5,0.237,34.5,7.5,0.2229
243.8,115.8,0.202,67.4,4.24,0.293
232.5,64.7,0.381,3.1,6.5,0.6176
201.5,39.1,0.371,70.6,3.27,0.8016
215.2,25.0,0.205,45.9,6.25,0.8503
175.2,59.9,0.103,16.5,1.03,0.6547
247.9,116.8,0.364,10.2,1.64,0.0811
182.3,50.0,0.13,65.1,1.31,0.785
177.6,101.3,0.37,6.3,4.58,0.2988
207.6,79.5,0.138,19.6,5.53,0.799
232.8,52.9,0.374,23.9,7.65,0.6467
235.4,99.3,0.108,79.9,6.75,0.4727
184.6,70.6,0.275,90.1,1.49,0.739
195.2,23.5,0.244,71.1,7.34,0.7709
188.1,39.0,0.127,76.4,4.98,0.7927
212.0,39.2,0.39,20.0,3.33,0.7552
240.0,42.3,0.262,49.5,3.49,0.7195
175.4,32.1,0.362,7.0,3.13,0.5475
221.4,79.9,0.109,46.0,6.95,0.7491
216.9,92.1,0.373,47.3,6.06,0.5936
199.2,89.4,0.365,14.8,1.05,0.6329
194.6,111.7,0.234,5.0,4.29,0.3465
233.0,90.8,0.134,65.4,5.93,0.6908
172.2,43.1,0.163,31.6,6.39,0.6371
186.7,86.5,0.121,80.3,1.08,0.6481
241.3,67.5,0.19,82.5,4.44,0.7681
188.7,117.7,0.232,27.3,1.96,0.3289
209.5,68.7,0.205,45.4,7.84,0.8104
215.6,69.8,0.304,18.3,2.96,0.8097
246.7,42.5,0.228,75.7,1.6,0.7347
201.3,22.8,0.218,47.8,4.12,0.8225
173.1,45.6,0.315,27.9,2.51,0.6286
176.4,75.3,0.301,60.0,0.96,0.6332
199.2,50.3,0.358,73.7,5.45,0.8443
170.4,51.2,0.113,32.5,3.19,0.6736
224.6,81.2,0.124,56.2,1.2,0.8381
232.1,47.4,0.391,27.0,7.49,0.7382
179.6,103.0,0.36,52.6,2.04,0.3914
205.5,43.2,0.28,94.5,2.56,0.8816
215.8,119.5,0.196,1.1,7.14,0.2829
174.4,38.7,0.178,85.2,3.57,0.6519
243.0,49.1,0.266,86.4,4.58,0.7116
217.3,64.6,0.394,18.8,3.91,0.734
184.5,89.1,0.214,48.1,5.9,0.6798
180.3,60.7,0.214,9.9,3.57,0.6607
237.0,118.7,0.238,58.2,4.74,0.2692
217.4,116.7,0.255,31.5,7.69,0.3713
188.6,60.0,0.21,3.9,6.61,0.7125
211.4,105.6,0.339,71.4,0.66,0.5781
194.1,77.4,0.24,46.8,7.52,0.7713
202.3,30.8,0.367,5.7,6.88,0.6956
200.4,78.4,0.191,20.8,0.92,0.7911
237.2,97.1,0.302,19.8,0.84,0.4853
213.8,39.5,0.107,68.9,2.49,0.9134
231.0,98.8,0.228,68.6,3.3,0.5495
175.3,22.7,0.363,64.7,2.22,0.6007
239.0,37.5,0.374,42.2,7.88,0.6841
249.1,47.7,0.184,25.6,7.11,0.6018
224.1,81.7,0.243,59.4,6.73,0.7711
175.8,58.7,0.286,71.8,0.89,0.6943
199.3,59.4,0.31,77.4,4.18,0.894
184.8,44.3,0.291,23.2,1.5,0.7394
191.7,22.2,0.18,66.1,6.6,0.7459
195.0,107.9,0.34,84.2,6.74,0.4001
221.5,34.8,0.202,4.8,4.5,0.7908
241.7,95.0,0.107,21.2,3.65,0.502
236.9,96.9,0.27,64.9,6.71,0.5032
210.0,52.3,0.166,68.5,5.03,0.9118
222.8,60.0,0.373,28.2,1.04,0.8468
193.6,91.0,0.166,23.0,7.73,0.6296
195.1,81.8,0.218,68.3,6.4,0.7372
200.8,105.1,0.359,97.3,2.23,0.5128
180.5,81.6,0.175,27.7,6.96,0.6414
247.5,50.1,0.282,17.9,6.53,0.611
231.8,46.6,0.187,75.0,6.65,0.7794
190.2,70.6,0.196,49.8,1.08,0.8311
233.2,57.9,0.211,70.7,7.0,0.7637
186.2,43.8,0.181,94.7,3.97,0.7958
181.8,27.0,0.375,73.7,6.16,0.623
193.0,86.9,0.312,99.8,4.68,0.5788
181.6,49.2,0.183,80.5,7.98,0.7801
177.9,40.7,0.231,67.2,4.49,0.7904
188.3,57.8,0.195,69.1,6.01,0.8306
216.8,45.2,0.247,30.3,3.2,0.8747
245.6,71.6,0.16,5.1,6.2,0.5638
192.7,75.5,0.188,62.7,2.81,0.8404
207.1,115.5,0.355,21.6,1.69,0.3748
177.5,105.0,0.124,81.0,1.52,0.3499
191.6,85.6,0.318,68.3,0.91,0.6872
229.9,22.3,0.361,97.3,7.25,0.6437
239.1,46.3,0.317,33.9,1.41,0.7197
221.8,78.6,0.109,4.6,1.25,0.7003
174.5,20.3,0.399,0.7,7.03,0.3878
219.1,21.7,0.285,90.8,1.53,0.7614
176.6,92.2,0.302,64.3,5.61,0.4942
242.0,52.8,0.353,50.3,2.0,0.6478
171.0,63.7,0.324,92.7,5.66,0.5379
171.3,52.0,0.268,65.5,4.58,0.6157
223.5,77.0,0.384,0.6,4.14,0.6222
230.0,31.2,0.169,17.6,1.22,0.7505
220.8,32.4,0.361,47.9,1.65,0.7878
191.7,71.0,0.146,81.8,5.87,0.7945
217.5,45.0,0.366,13.2,2.43,0.7821
181.0,40.2,0.233,18.5,4.74,0.7122
190.7,48.8,0.114,51.9,4.89,0.8863
227.2,31.2,0.165,29.7,5.45,0.789
211.7,37.1,0.128,75.4,3.43,0.9233
176.1,109.3,0.319,28.6,3.91,0.2748
241.0,21.9,0.2,82.4,6.56,0.7217
214.0,96.0,0.201,37.9,7.39,0.6148
205.2,29.5,0.255,45.8,3.59,0.8568
189.1,44.2,0.232,42.5,6.23,0.7855
199.9,56.1,0.198,91.0,5.12,0.8879
214.7,55.3,0.318,22.2,6.33,0.8234
190.1,105.2,0.111,14.0,6.84,0.4681
182.3,102.6,0.247,70.2,2.62,0.5032
208.5,41.0,0.295,18.6,3.61,0.8586
233.6,23.1,0.192,57.9,5.84,0.7451
222.5,37.6,0.396,90.5,6.37,0.744
212.7,109.0,0.16,18.5,4.38,0.5398
227.5,79.3,0.187,97.5,3.8,0.7192
234.2,39.9,0.319,15.8,1.07,0.7139
197.5,86.3,0.321,37.5,7.76,0.6661
205.0,79.6,0.341,96.2,6.85,0.6641
172.4,82.5,0.347,24.8,6.22,0.4769
194.7,83.6,0.22,70.8,1.03,0.7117
197.6,94.5,0.357,75.8,0.77,0.6351
200.2,48.7,0.152,10.4,0.98,0.8042
176.4,99.7,0.296,56.3,5.21,0.4255
228.4,89.0,0.271,76.5,7.45,0.6419
209.3,108.8,0.37,7.7,6.39,0.3878
223.0,34.9,0.1,27.8,4.01,0.8076
226.4,79.2,0.215,54.0,7.89,0.7264
203.0,117.0,0.18,74.9,2.53,0.4347
198.0,77.6,0.219,74.3,6.15,0.7967
182.3,94.5,0.163,74.4,1.77,0.5642
221.2,78.6,0.397,80.0,4.39,0.6689
179.2,89.9,0.208,35.5,2.52,0.6275
213.9,104.7,0.209,95.3,1.02,0.6111
247.1,78.0,0.366,70.4,4.96,0.5034
246.2,90.6,0.274,17.5,3.64,0.4915
210.1,86.5,0.374,72.0,4.55,0.6776
198.1,26.4,0.35,93.5,2.3,0.7819
170.4,118.3,0.257,44.0,6.63,0.0882
229.8,39.4,0.29,89.4,4.95,0.7978
222.1,31.3,0.199,17.3,2.76,0.8357
178.3,28.8,0.232,6.6,1.9,0.6389
222.7,79.6,0.297,31.0,0.75,0.8255
219.0,79.6,0.136,14.5,3.24,0.7725
226.6,70.0,0.376,0.9,5.41,0.6302
196.1,24.0,0.224,36.4,0.91,0.8254
183.7,45.6,0.146,57.2,6.51,0.7841
204.0,39.8,0.3,8.6,1.97,0.7781
227.0,50.6,0.271,68.8,3.85,0.8611
248.3,82.8,0.206,36.1,5.92,0.5285
216.3,91.4,0.153,82.9,2.67,0.6825
184.5,82.5,0.175,0.2,5.4,0.5623
198.6,96.8,0.271,74.3,1.33,0.6486
227.5,66.2,0.345,79.1,1.22,0.805
201.1,20.2,0.198,17.9,5.49,0.7593
235.8,22.2,0.233,60.6,4.21,0.7015
233.1,106.2,0.32,68.1,4.86,0.4421
201.1,48.6,0.116,45.8,2.18,0.8711
220.6,50.7,0.109,77.3,3.64,0.8575
205.0,83.4,0.138,40.1,7.74,0.7501
234.7,119.2,0.391,66.4,0.86,0.194
198.7,52.1,0.121,82.5,6.26,0.8746
193.4,64.5,0.315,44.4,2.72,0.8141
240.2,23.0,0.218,91.0,5.77,0.6761
191.0,75.1,0.372,79.9,6.29,0.6695
248.6,116.5,0.155,75.6,6.28,0.1626
213.6,48.2,0.397,39.3,4.3,0.8569
234.2,83.8,0.151,78.2,2.67,0.7107
206.6,72.8,0.231,35.1,1.98,0.8923
191.1,106.2,0.341,13.3,1.21,0.4804
240.1,75.2,0.228,23.8,2.51,0.7075
175.1,28.7,0.263,1.8,3.51,0.5593
225.6,119.9,0.135,47.3,3.89,0.304
178.7,60.4,0.156,99.4,2.28,0.6998
202.8,119.2,0.23,41.3,5.47,0.3992
231.4,115.6,0.249,73.9,3.04,0.3341
196.6,78.1,0.301,61.6,6.08,0.7957
238.6,68.5,0.125,89.9,1.79,0.6425
206.8,62.1,0.115,85.1,5.39,0.8489
219.5,88.7,0.13,81.4,4.21,0.7141
218.4,108.4,0.226,9.6,6.53,0.4452
202.9,81.2,0.377,73.0,6.43,0.6748
219.8,30.2,0.313,86.5,6.86,0.7641
189.5,81.5,0.183,46.4,7.8,0.7279
210.6,111.7,0.14,22.6,4.23,0.4383
177.2,103.6,0.269,50.6,2.49,0.4304
241.7,87.5,0.336,28.0,5.33,0.5319
238.8,37.0,0.109,71.8,2.37,0.7326
220.5,30.9,0.385,63.7,6.94,0.7179
186.4,86.5,0.104,28.3,4.54,0.6688
177.5,70.4,0.393,34.2,3.68,0.5607
244.4,46.6,0.12,72.2,0.76,0.7237
212.9,63.8,0.137,23.9,6.81,0.8408
188.7,40.5,0.174,17.2,2.21,0.7934
222.5,39.3,0.146,63.7,5.06,0.8635
197.8,88.7,0.263,51.5,3.41,0.7249
178.3,45.3,0.352,76.4,2.51,0.6927
205.6,71.4,0.189,59.7,6.01,0.8617
237.6,96.4,0.106,76.1,4.19,0.5279
201.2,114.1,0.328,61.9,2.29,0.4309
170.5,29.0,0.295,47.7,3.71,0.6023
219.3,99.4,0.272,18.8,4.69,0.558
234.6,64.0,0.141,66.3,2.61,0.7798
237.4,78.8,0.204,15.4,5.43,0.6613
232.7,22.2,0.217,23.6,6.6,0.6894
183.1,78.8,0.115,19.5,2.28,0.692
177.8,100.6,0.339,70.3,6.36,0.435
208.4,66.7,0.273,54.3,2.54,0.9588
173.6,40.8,0.109,52.8,4.95,0.6413
181.3,56.6,0.154,62.8,4.77,0.787
180.6,96.2,0.147,21.4,2.59,0.4904
188.2,67.6,0.266,97.7,5.06,0.7997
179.2,78.7,0.277,13.3,7.56,0.5807
179.4,96.3,0.285,26.8,5.39,0.4683
176.9,47.4,0.272,80.0,2.82,0.7111
249.9,73.6,0.295,45.0,3.46,0.5555
172.1,69.9,0.117,85.5,3.64,0.6014
201.6,119.4,0.163,46.4,3.1,0.3941
224.7,118.5,0.377,98.0,7.78,0.1886
215.8,68.9,0.272,57.9,3.48,0.8504
205.0,43.0,0.317,99.6,4.9,0.8151
237.6,118.7,0.266,29.7,7.21,0.2154
208.2,41.6,0.138,85.4,4.88,0.8729
234.4,107.9,0.102,3.0,5.16,0.3874
222.3,83.0,0.331,99.9,0.69,0.7005
189.9,40.0,0.155,60.5,1.62,0.8388
213.6,95.8,0.248,12.4,2.52,0.6708
237.2,23.0,0.385,81.6,6.13,0.6509
227.6,103.7,0.328,21.3,4.35,0.4761
208.4,98.3,0.383,74.6,1.73,0.5613
181.6,40.2,0.166,89.6,4.14,0.7432
243.2,106.4,0.181,54.5,4.46,0.3894
228.3,110.7,0.265,13.7,3.68,0.3578
207.1,83.7,0.145,38.6,1.6,0.745
244.2,107.6,0.378,19.7,1.55,0.2605
210.7,103.9,0.262,46.0,4.01,0.5303
184.4,63.1,0.133,81.9,6.86,0.7405
245.7,96.2,0.37,76.2,3.89,0.379
221.6,52.3,0.203,47.2,2.13,0.9103
192.2,101.1,0.311,44.8,0.7,0.5419
231.6,40.4,0.103,58.5,7.05,0.7654
239.8,82.0,0.123,37.6,2.25,0.6224
229.8,70.2,0.23,89.9,7.37,0.7563
242.9,34.1,0.218,6.0,6.58,0.6267
176.6,27.1,0.271,99.0,1.18,0.6551
197.7,28.4,0.148,72.4,7.84,0.7762
181.0,26.5,0.253,80.5,6.73,0.6987
221.9,69.7,0.149,53.0,2.82,0.839
244.8,65.5,0.198,25.3,4.36,0.6499
197.8,36.0,0.182,54.8,2.18,0.8153
196.9,78.1,0.383,15.1,2.88,0.6501
217.8,98.2,0.349,34.1,1.79,0.5766
214.1,114.7,0.195,28.2,3.22,0.4186
243.9,64.5,0.295,73.8,6.61,0.6927
189.0,56.6,0.208,22.2,7.64,0.7589
240.1,31.8,0.396,58.7,2.14,0.6496
197.0,46.6,0.358,43.9,6.48,0.7771
198.3,32.9,0.122,87.6,6.8,0.788
191.9,56.6,0.4,62.4,5.33,0.7817
184.5,84.2,0.382,28.6,7.92,0.5673
189.7,62.6,0.184,57.7,7.05,0.8533
216.7,109.2,0.295,10.2,6.47,0.4166
172.6,66.8,0.365,45.6,4.52,0.5792
242.4,36.9,0.345,68.5,3.39,0.7069
245.2,41.2,0.396,46.3,5.54,0.5422
183.6,38.6,0.34,70.9,4.72,0.7449
187.5,105.6,0.284,11.9,5.74,0.3715
248.6,64.0,0.394,23.3,2.42,0.5016
182.1,97.8,0.239,79.8,7.27,0.4792
222.2,26.0,0.206,96.6,2.54,0.7735
227.7,22.5,0.388,80.7,4.14,0.6422
175.3,86.1,0.321,47.2,2.29,0.5115
240.2,35.0,0.133,82.6,4.76,0.6926
232.3,112.9,0.113,52.4,2.46,0.3768
236.0,61.2,0.382,82.1,6.59,0.6444
212.5,20.2,0.358,22.9,5.75,0.6796
